customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1801-RWAPV,Female,0,No,Yes,67,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.26,6037.82,No
1802-FCBBM,Female,0,No,No,70,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,65.15,4746.57,Yes
1803-IPEWU,Female,0,Yes,Yes,5,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,58.93,291.32,Yes
1804-GMTXZ,Female,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,101.23,4706.36,Yes
1805-MZGJO,Female,0,Yes,No,1,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.64,82.32,Yes
1806-UFEWB,Male,0,No,No,71,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,94.11,6557.72,No
1807-UOZPS,Male,0,No,Yes,37,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),90.31,3377.15,Yes
1808-IVZSG,Male,0,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.1,1361.16,No
1809-DCXTK,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,79.35,81.76,Yes
1810-AFZKA,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),118.59,8302.77,No
1811-UGFNB,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.81,1607.34,No
1812-DKORA,Female,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.71,187.65,No
1813-CCGAY,Female,0,No,Yes,5,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),75.63,382.76,Yes
1814-KFTCS,Female,0,No,No,34,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,56.76,1868.57,No
1815-BRLJE,Female,0,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,30.49,1559.22,No
1816-IBBFJ,Female,0,No,Yes,18,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,113.58,2064.27,Yes
1817-RLDVU,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),79.58,410.58,Yes
1818-QOFPQ,Male,0,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.95,1255.24,No
1819-CJENZ,Female,0,No,No,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.41,3191.68,Yes
1820-UMZFL,Male,0,No,Yes,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,84.07,3587.74,No
1821-ZHEOP,Male,0,No,No,5,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62.58,308.68,No
1822-APECT,Female,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,32.38,867.0,No
1823-OMXPW,Male,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,99.9,1322.56,No
1824-KUBVF,Male,0,Yes,No,0,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,56.68, ,No
1825-ZZFNY,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,83.23,3500.56,No
1826-KHHAU,Male,0,No,No,49,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,51.85,2691.06,No
1827-GFUHS,Female,0,No,No,4,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,59.92,249.85,No
1828-VUXTH,Male,0,No,No,44,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),45.82,2044.3,No
1829-ZNRYP,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),81.91,321.59,No
1830-IOZJV,Male,1,No,Yes,56,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),71.62,4014.66,No
1831-PDTMV,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.59,27.75,No
1832-EVGWI,Female,0,No,No,2,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),64.68,125.99,Yes
1833-HPFPF,Female,0,No,No,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.25,876.79,No
1834-NUAYI,Male,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,111.27,444.67,No
1835-YXMZS,Female,0,No,Yes,51,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,78.26,3870.03,No
1836-QKHWE,Female,1,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),101.68,202.67,No
1837-JGJDI,Male,1,Yes,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),36.45,2057.57,No
1838-ZNBYI,Male,0,No,Yes,8,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),118.75,1008.17,Yes
1839-UAWJJ,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.88,1134.17,Yes
1840-TYVCF,Female,0,Yes,No,5,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),63.02,348.57,Yes
1841-ZFUBZ,Female,0,No,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),23.59, ,No
1842-ZRWBL,Female,0,No,No,52,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,69.54,3671.27,No
1843-VETGX,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.44,2046.8,No
1844-PTAAQ,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.85,1526.2,Yes
1845-AUTMI,Female,0,No,No,57,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,71.01,3996.64,Yes
1846-OCNWK,Female,0,No,No,16,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,92.17,1480.27,Yes
1847-XVLMZ,Male,1,No,Yes,8,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),56.84,452.47,No
1848-MAXJC,Female,0,Yes,Yes,29,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,86.2,2581.55,No
1849-XDPHP,Female,1,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,82.65,1473.15,Yes
1850-QSVOP,Male,0,Yes,No,59,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,52.46,3361.04,No
1851-OYBKA,Male,0,No,No,49,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,95.57,4655.29,Yes
1852-OZSDK,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.81,314.87,No
1853-ECMJK,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,63.83,2829.66,No
1854-RBGIJ,Female,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.1,1586.39,No
1855-RWGGC,Female,1,No,No,28,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Electronic check,55.92,1506.72,No
1856-LGQZA,Male,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.96, ,No
1857-EPOBI,Male,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.95,991.57,No
1858-GDTRU,Male,0,Yes,No,32,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),82.21,2575.79,Yes
1859-DMAXC,Female,1,Yes,No,23,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Electronic check,99.85,2441.51,No
1860-PVDYW,Male,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,33.06,133.68,No
1861-YPZSA,Female,0,Yes,Yes,51,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,59.57,2941.73,No
1862-ESVXK,Male,1,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),80.08,1760.83,No
1863-MTEUD,Female,0,Yes,No,21,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),70.03,1498.37,No
1864-DDDTU,Female,0,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),28.32,142.61,No
1865-RRPIR,Male,0,Yes,Yes,3,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,79.82,230.9,No
1866-VBUDL,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),83.48,432.72,No
1867-GOGVZ,Female,1,No,Yes,39,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),109.65,4223.1,No
1868-UQPSI,Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.43,161.75,No
1869-NQEBT,Male,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.94,1866.56,No
1870-PNNAC,Male,1,No,No,63,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.99,3539.41,Yes
1871-ZGZOS,Male,0,No,Yes,63,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.73,6247.83,Yes
1872-TBSIS,Male,1,No,No,14,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),82.26,1200.84,No
1873-ERPDL,Male,0,No,No,38,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),53.26,2090.35,No
1874-GNWLC,Male,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),88.78,424.71,Yes
1875-EQZJJ,Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),24.46,23.63,No
1876-KQEMJ,Male,1,No,Yes,39,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),67.88,2684.9,No
1877-IQADD,Female,0,No,No,0,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,68.06, ,No
1878-RIYRN,Male,1,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.03,23.64,No
1879-YOFXJ,Female,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),38.34,1709.2,No
1880-ODRRY,Female,0,No,No,52,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),57.03,3067.94,No
1881-QLGPK,Male,0,No,No,32,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,37.07,1242.5,No
1882-NCSRJ,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.55,258.98,Yes
1883-FMJRZ,Male,0,Yes,No,18,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,54.17,1037.04,No
1884-TZPYY,Male,1,Yes,No,57,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,103.54,5702.72,No
1885-FMDWN,Female,0,No,No,7,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),58.77,413.88,No
1886-ATEHL,Female,0,No,No,9,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,51.88,476.23,Yes
1887-BLEVE,Male,1,Yes,Yes,38,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),85.49,3204.92,No
1888-MIJAC,Female,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,99.44,2386.48,No
1889-RLCZY,Male,1,No,Yes,72,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),54.57,4107.23,No
1890-IZBCN,Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.69,60.71,No
1891-DYSMG,Male,0,No,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),35.53,1180.67,No
1892-LCWWI,Female,0,No,Yes,53,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Electronic check,67.87,3552.7,No
1893-BVILL,Male,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),83.03,884.36,No
1894-OBRMN,Female,0,No,Yes,5,No,No phone service,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,38.65,195.68,Yes
1895-EZJLJ,Male,1,Yes,Yes,50,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),77.77,4003.59,No
1896-XKYBE,Male,0,No,No,9,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),62.36,584.49,No
1897-GFVWC,Female,0,No,No,48,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,82.84,4017.09,No
1898-MCZYX,Female,1,No,No,32,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),74.33,2532.51,No
1899-UFKZQ,Female,0,Yes,No,10,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),79.77,832.17,No
1900-JLQDB,Female,1,No,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.18,2020.42,Yes
1901-KGBZR,Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,82.89,1647.35,Yes
1902-UDHTN,Male,0,Yes,No,47,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),73.24,3588.77,No
1903-LVURK,Female,0,Yes,No,2,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,63.38,134.67,No
1904-HBYOI,Female,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,95.48,1005.98,Yes
1905-STHYS,Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,87.95,3214.24,Yes
1906-EKOHS,Female,0,No,No,40,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),66.15,2570.81,No
1907-WHZSR,Male,0,No,Yes,48,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,94.85,4622.36,Yes
1908-JGIAS,Male,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,32.19,1501.02,No
1909-ESAOP,Male,1,No,No,44,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),88.71,3791.96,No
1910-WGZLH,Male,0,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.34,1572.34,Yes
1911-EJUEQ,Female,0,Yes,No,48,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.54,4050.12,No
1912-ZEVOM,Male,0,No,Yes,37,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,114.47,4340.91,No
1913-AKWAK,Male,0,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.67,2041.14,No
1914-RRUZP,Female,0,Yes,No,20,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,69.67,1323.59,No
1915-MGAZP,Female,0,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.05,1305.29,No
1916-AQFBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),42.7,1323.0,No
1917-FNRFJ,Female,0,Yes,No,40,No,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,42.02,1710.75,Yes
1918-XRIHJ,Female,0,Yes,No,45,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),87.27,4000.85,Yes
1919-QWZFN,Female,1,No,Yes,38,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,62.62,2453.17,No
1920-VVFZG,Male,0,No,No,29,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,76.38,2190.65,Yes
1921-LCNVS,Male,0,No,No,27,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),74.79,2090.15,No
1922-WPGHR,Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,103.41,783.83,Yes
1923-YMUIJ,Male,0,No,Yes,27,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),73.86,2005.54,No
1924-UWIOT,Female,0,No,Yes,9,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.36,585.9,Yes
1925-BYMBS,Female,0,No,No,39,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,73.53,2744.76,No
1926-ZBCFC,Male,0,Yes,Yes,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,643.13,No
1927-JXFWP,Male,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.0,2032.76,No
1928-QSCRG,Male,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.79,1045.9,No
1929-ITLEC,Male,0,No,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),39.58,1842.08,No
1930-KYDEA,Male,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,100.01,2403.49,Yes
1931-RLMIB,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),29.32,1883.24,No
1932-EMPPX,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,97.22,271.3,No
1933-CVDKW,Male,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,94.49,957.7,Yes
1934-ZNCPV,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,69.77,224.0,Yes
1935-OJIKP,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,82.3, ,No
1936-JQSBX,Male,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,90.17,89.33,Yes
1937-WBFSH,Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),118.75,598.59,Yes
1938-ZCZNY,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),102.63,394.78,Yes
1939-PAUCV,Male,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.76,429.15,Yes
1940-ZRIFW,Female,0,Yes,No,4,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,59.02,233.85,No
1941-UYAUJ,Male,0,No,No,49,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),76.5,3829.9,No
1942-FWLDM,Male,0,No,Yes,69,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),101.38,7040.65,No
1943-QHZTC,Female,0,No,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,111.65,7390.71,No
1944-LGLBX,Male,0,Yes,No,20,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),55.64,1095.35,No
1945-NVWEI,Female,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),66.49,66.98,Yes
1946-UKECQ,Female,0,No,No,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,57.11, ,No
1947-BXAGN,Female,0,Yes,No,50,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),70.95,3460.23,No
1948-ESKWY,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,91.42,1323.72,No
1949-BHICB,Male,0,Yes,Yes,38,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),76.92,2928.54,No
1950-GEUZE,Male,1,No,No,21,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,60.32,1284.68,No
1951-TMUTF,Male,1,No,Yes,12,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.86,944.27,No
1952-TRYBY,Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,92.14,653.05,Yes
1953-ZFIYC,Female,0,No,No,39,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),83.49,3307.4,No
1954-AASEM,Female,0,Yes,Yes,55,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),73.73,4099.88,No
1955-SLPYY,Male,0,Yes,Yes,27,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,59.13,1636.71,No
1956-SCLEB,Female,0,Yes,Yes,17,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,61.66,1051.59,No
1957-VGMYO,Male,0,No,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.05,134.71,No
1958-VCUTE,Female,0,Yes,Yes,57,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,67.25,3780.22,No
1959-XHVAH,Female,1,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.2,23.67,No
1960-XRTPR,Female,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,89.56,4294.45,No
1961-TLMMJ,Male,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.89,1167.41,No
1962-GYNXP,Female,1,Yes,No,23,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,79.29,1799.76,Yes
1963-OLIHR,Female,0,Yes,No,49,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),108.36,5129.48,No
1964-WRMRO,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,73.79,4409.04,No
1965-DQEVP,Female,0,Yes,Yes,67,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),57.04,3861.56,No
1966-IJXRQ,Female,0,Yes,No,6,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Electronic check,52.83,322.12,No
1967-RGDZE,Male,0,Yes,No,62,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),63.79,3962.97,No
1968-WPCZR,Male,0,Yes,Yes,69,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Electronic check,86.56,5802.91,No
1969-WUNOQ,Male,0,Yes,No,44,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),82.55,3501.61,No
1970-AYUQW,Male,0,No,Yes,31,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,82.41,2447.75,No
1971-YKQZN,Female,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.73,1171.01,No
1972-TSUGX,Female,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),30.84,582.12,No
